Organisation,PickupDate,DropoffDate,PassengerCount,PickupLongitude,PickupLatitude,DropoffLongitude,DropoffLatitude,JourneyDuration,id,name,type,changedOn,changedById,changedByName,deleted,Driver,Vehicle
7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,14/03/2016 17:24,14/03/2016 17:32,1,-73.98215485,40.76793671,-73.96463013,40.76560211,455,84db0e34-435f-4267-623b-ceac0b095c02,,Journey,30/09/2018,,,FALSE,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60
1985651c-f63f-4bd0-9ebf-888f46376c66,12/06/2016 00:43,12/06/2016 00:54,1,-73.98041534,40.73856354,-73.9994812,40.73115158,663,55476c08-609c-028c-52f2-799428cd070f,,Journey,30/09/2018,,,FALSE,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60
7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,19/01/2016 11:35,19/01/2016 12:10,1,-73.97902679,40.7639389,-74.00533295,40.71008682,2124,62bd58f1-55fc-1972-9ad2-6d646da27866,,Journey,30/09/2018,,,FALSE,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60
7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,06/04/2016 19:32,06/04/2016 19:39,1,-74.01004028,40.7199707,-74.01226807,40.70671844,429,9b0e7dfc-3607-5011-5892-bdadd5f9844c,,Journey,30/09/2018,,,FALSE,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60
7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,26/03/2016 13:30,26/03/2016 13:38,1,-73.97305298,40.79320908,-73.97292328,40.78252029,435,218ac82a-5d49-6232-8532-1c86294a4d4b,,Journey,30/09/2018,,,FALSE,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60
7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,30/01/2016 22:01,30/01/2016 22:09,6,-73.98285675,40.74219513,-73.99208069,40.74918365,443,7801f09e-1cd5-4c2d-a481-967798d967fd,,Journey,30/09/2018,,,FALSE,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60
1985651c-f63f-4bd0-9ebf-888f46376c66,17/06/2016 22:34,17/06/2016 22:40,4,-73.96901703,40.7578392,-73.95740509,40.76589584,341,b6459202-0623-6d77-4513-bfd2763b8f27,,Journey,30/09/2018,,,FALSE,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60
7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,21/05/2016 07:54,21/05/2016 08:20,1,-73.96927643,40.79777908,-73.92247009,40.76055908,1551,81e31ae5-124b-6f0d-80be-7b609c299e5a,,Journey,30/09/2018,,,FALSE,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60
1985651c-f63f-4bd0-9ebf-888f46376c66,27/05/2016 23:12,27/05/2016 23:16,1,-73.9994812,40.73839951,-73.98578644,40.73281479,255,2d080c46-7913-3a24-7f27-1ac315887e5f,,Journey,30/09/2018,,,FALSE,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60
7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,10/03/2016 21:45,10/03/2016 22:05,1,-73.98104858,40.74433899,-73.97299957,40.78998947,1225,50002f3c-1ddf-0bb2-6a30-c1a4235b4a0c,,Journey,30/09/2018,,,FALSE,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60
7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,10/05/2016 22:08,10/05/2016 22:29,1,-73.98265076,40.76383972,-74.00222778,40.73299026,1274,5dc7b00d-63a8-3cf9-81cb-0af697c34580,,Journey,30/09/2018,,,FALSE,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60
7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,15/05/2016 11:16,15/05/2016 11:34,4,-73.99153137,40.74943924,-73.95654297,40.77062988,1128,84883403-2394-51e7-8c9c-61e49b551a3b,,Journey,30/09/2018,,,FALSE,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60
7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,19/02/2016 09:52,19/02/2016 10:11,2,-73.96298218,40.75667953,-73.98440552,40.7607193,1114,0884f42f-14b3-9a04-87d1-b3c8d828a2a0,,Journey,30/09/2018,,,FALSE,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60
7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,01/06/2016 20:58,01/06/2016 21:02,1,-73.95630646,40.76794052,-73.96611023,40.76300049,260,8b8c3147-3552-3b68-8ebc-4e2cc9955d81,,Journey,30/09/2018,,,FALSE,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60
7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,27/05/2016 00:43,27/05/2016 01:07,1,-73.99219513,40.72722626,-73.97465515,40.78306961,1414,7108f996-2e03-17d7-9ba5-ff11d3189290,,Journey,30/09/2018,,,FALSE,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60
1985651c-f63f-4bd0-9ebf-888f46376c66,16/05/2016 15:29,16/05/2016 15:32,1,-73.955513,40.76859283,-73.94876099,40.77154541,211,46710c87-93e3-7615-5466-2a821b1e7dd1,,Journey,30/09/2018,,,FALSE,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60
7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,11/04/2016 17:29,11/04/2016 18:08,1,-73.99116516,40.75556183,-73.99929047,40.72535324,2316,58e70e41-4832-9b0b-6f8f-b6fa0f80655a,,Journey,30/09/2018,,,FALSE,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60
1985651c-f63f-4bd0-9ebf-888f46376c66,14/04/2016 08:48,14/04/2016 09:00,1,-73.99425507,40.74580383,-73.99965668,40.7233429,731,e00a1712-5a68-6461-74f6-eb276d54a79c,,Journey,30/09/2018,,,FALSE,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60
1985651c-f63f-4bd0-9ebf-888f46376c66,27/06/2016 09:55,27/06/2016 10:17,1,-74.00398254,40.7130127,-73.97919464,40.74992371,1317,1c78d8fb-5afe-3e2e-4495-1c9a62f30c08,,Journey,30/09/2018,,,FALSE,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60
7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,05/06/2016 13:47,05/06/2016 13:51,1,-73.98388672,40.73819733,-73.99120331,40.72787094,251,9f3c8dad-a37a-9af4-8ca1-c6d3c0f51017,,Journey,30/09/2018,,,FALSE,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60
1985651c-f63f-4bd0-9ebf-888f46376c66,28/02/2016 02:23,28/02/2016 02:31,1,-73.98036957,40.7424202,-73.96285248,40.76063538,486,92869c3c-9c46-0f07-7470-55620c1a6f32,,Journey,30/09/2018,,,FALSE,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60
7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,01/04/2016 12:12,01/04/2016 12:23,1,-73.97953796,40.75336075,-73.96399689,40.76345825,652,568c4c05-7e22-9ca4-5ef7-68a754066515,,Journey,30/09/2018,,,FALSE,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60
1985651c-f63f-4bd0-9ebf-888f46376c66,09/04/2016 03:34,09/04/2016 03:41,1,-73.99586487,40.75881195,-73.99332428,40.74032211,423,b4d2e8f8-8e0c-809d-61f9-ac95872387d4,,Journey,30/09/2018,,,FALSE,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60
1985651c-f63f-4bd0-9ebf-888f46376c66,25/06/2016 10:36,25/06/2016 10:55,1,-73.99355316,40.74717331,-74.00614166,40.70438385,1163,bd1a048e-58be-2dd1-8a95-0a7c57c22d15,,Journey,30/09/2018,,,FALSE,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60
7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,03/06/2016 08:15,03/06/2016 08:56,1,-73.95523071,40.77713394,-73.78874969,40.64147186,2485,6719eac1-5db8-9b07-9f7e-9eb89bbd45a9,,Journey,30/09/2018,,,FALSE,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60
7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,14/02/2016 13:27,14/02/2016 13:49,1,-73.95658112,40.77135849,-73.97496796,40.7327919,1283,b3340206-24a3-5aaf-38ea-0349c30e356a,,Journey,30/09/2018,,,FALSE,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60
1985651c-f63f-4bd0-9ebf-888f46376c66,27/02/2016 21:56,27/02/2016 22:14,1,-73.98376465,40.74987411,-73.95883179,40.80096054,1130,9dcc79a5-0797-5cbe-6ea4-272b49af84fa,,Journey,30/09/2018,,,FALSE,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60
1985651c-f63f-4bd0-9ebf-888f46376c66,20/06/2016 23:07,20/06/2016 23:18,1,-73.95843506,40.71319199,-73.94953918,40.68025208,694,2c980c0a-6aed-4eda-0c6c-b741d99d960c,,Journey,30/09/2018,,,FALSE,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60
7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,13/06/2016 21:57,13/06/2016 22:12,1,-73.99421692,40.71330643,-73.98284912,40.69229889,892,282edd29-0b17-329f-794e-1488d0b49e07,,Journey,30/09/2018,,,FALSE,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60
1985651c-f63f-4bd0-9ebf-888f46376c66,23/03/2016 14:10,23/03/2016 14:49,1,-73.9821167,40.75635147,-73.86569214,40.77098846,2331,f8747ae8-71d3-6c5f-5730-7d9c3add9c8e,,Journey,30/09/2018,,,FALSE,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60
1985651c-f63f-4bd0-9ebf-888f46376c66,17/05/2016 10:47,17/05/2016 11:12,1,-73.97093964,40.76166916,-73.99623871,40.7253685,1479,92ee3be1-6d8d-49c0-6645-6b26c4ed495d,,Journey,30/09/2018,,,FALSE,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60
7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,21/05/2016 13:03,21/05/2016 13:20,1,-73.99826813,40.72003937,-74.01036072,40.67213821,1048,96e4f515-3262-12bf-8d70-101d340d1647,,Journey,30/09/2018,,,FALSE,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60
7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,10/05/2016 19:27,10/05/2016 19:44,2,-74.00550079,40.70658875,-73.98581696,40.74420166,1022,1f1ada65-607c-471a-8586-22fb3ce67d58,,Journey,30/09/2018,,,FALSE,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60
1985651c-f63f-4bd0-9ebf-888f46376c66,17/04/2016 14:38,17/04/2016 15:16,1,-73.99031067,40.75658035,-73.87091827,40.7739296,2269,a80a292e-a5ce-9206-74d3-bd8d12b51509,,Journey,30/09/2018,,,FALSE,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60
1985651c-f63f-4bd0-9ebf-888f46376c66,09/01/2016 12:55,09/01/2016 13:07,1,-74.00899506,40.71258926,-73.99863434,40.72280884,707,18c0273b-7ed9-4458-48f7-27b2366d5126,,Journey,30/09/2018,,,FALSE,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60
1985651c-f63f-4bd0-9ebf-888f46376c66,11/03/2016 07:11,11/03/2016 07:20,1,-73.99456024,40.75052643,-73.97850037,40.75619125,526,5258f4d8-74a9-90f3-082e-dd3a9f649cf3,,Journey,30/09/2018,,,FALSE,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60
1985651c-f63f-4bd0-9ebf-888f46376c66,05/01/2016 15:29,05/01/2016 15:39,3,-73.9515152,40.77024841,-73.95852661,40.76151657,553,3ca24ac9-19c7-5d3a-1f23-334fa1e22da5,,Journey,30/09/2018,,,FALSE,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60,7fb4a13b-6d4f-4955-b09e-dc1ef1757e60
